СокращенноеНаименование;ПолноеНаименование;Специализация;ПрофильныйПредмет;ФормаОбучения;УровеньПодготовки;ОснованиеПоступления;ОсобенностиПриема;Факультет;КоличествоМест;Зачислено
МАШ(С)_заочн_бюдж;15.03.01. Машиностроение;Оборудование и технология сварочного производства;Физика;Заочная;Академический бакалавр;Бюджетная основа;Общие места;Механико-технологический факультет;22;0
МАШ(С)_заочн_льгот;15.03.01. Машиностроение;Оборудование и технология сварочного производства;Физика;Заочная;Академический бакалавр;Бюджетная основа;Общие места;Механико-технологический факультет;3;0
МАШ(С)_заочн_плат;15.03.01. Машиностроение;Оборудование и технология сварочного производства;Физика;Заочная;Академический бакалавр;Полное возмещение затрат;Общие места;Механико-технологический факультет;5;0
МАШ(С)_очн_бюдж;15.03.01. Машиностроение;Оборудование и технология сварочного производства;Физика;Очная;Академический бакалавр;Бюджетная основа;Общие места;Механико-технологический факультет;16;16
МАШ(С)_очн_льгот;15.03.01. Машиностроение;Оборудование и технология сварочного производства;Физика;Очная;Академический бакалавр;Бюджетная основа;Общие места;Механико-технологический факультет;0;0
МАШ(С)_очн_плат;15.03.01. Машиностроение;Оборудование и технология сварочного производства;Физика;Очная;Академический бакалавр;Полное возмещение затрат;Общие места;Механико-технологический факультет;2;0
МАШ(С)_очн_целевое;15.03.01. Машиностроение;Оборудование и технология сварочного производства;Физика;Очная;Академический бакалавр;Целевой прием;Общие места;Механико-технологический факультет;2;2
МАШ(ТМ)_заочн_бюдж;15.03.01. Машиностроение;Технология, оборудование и автоматизация машиностроительных производств;Физика;Заочная;Академический бакалавр;Бюджетная основа;Общие места;Учебно-научный технологический институт;27;0
МАШ(ТМ)_заочн_льгот;15.03.01. Машиностроение;Технология, оборудование и автоматизация машиностроительных производств;Физика;Заочная;Академический бакалавр;Бюджетная основа;Общие места;Учебно-научный технологический институт;3;0
МАШ(ТМ)_заочн_плат;15.03.01. Машиностроение;Технология, оборудование и автоматизация машиностроительных производств;Физика;Заочная;Академический бакалавр;Полное возмещение затрат;Общие места;Учебно-научный технологический институт;15;0
МиТМ_очн_бюдж;22.03.01. Материаловедение и технологии материалов;Компьютерное моделирование материалов и материаловедение;Физика;Очная;Академический бакалавр;Бюджетная основа;Общие места;Учебно-научный технологический институт;11;11
МиТМ_очн_льгот;22.03.01. Материаловедение и технологии материалов;Компьютерное моделирование материалов и материаловедение;Физика;Очная;Академический бакалавр;Бюджетная основа;Общие места;Учебно-научный технологический институт;0;0
МиТМ_очн_плат;22.03.01. Материаловедение и технологии материалов;Компьютерное моделирование материалов и материаловедение;Физика;Очная;Академический бакалавр;Полное возмещение затрат;Общие места;Учебно-научный технологический институт;5;0
МНТ(МРК)_очн_плат;38.03.02. Менеджмент;Маркетинг;Обществознание;Очная;Прикладной бакалавр;Полное возмещение затрат;Общие места;Факультет экономики и управления;20;0
МНТ(ЭУП)_заочн_плат;38.03.02. Менеджмент;Экономика и управление на предприятии;Обществознание;Заочная;Прикладной бакалавр;Полное возмещение затрат;Общие места;Факультет экономики и управления;65;0
МНТ(ЭУП)_очн_плат;38.03.02. Менеджмент;Экономика и управление на предприятии;Обществознание;Очная;Прикладной бакалавр;Полное возмещение затрат;Общие места;Факультет экономики и управления;20;0
МОА_очн_бюдж;02.03.03. Математическое обеспечение и администрирование информационных систем;Технология программирования;Информатика и ИКТ;Очная;Академический бакалавр;Бюджетная основа;Общие места;Факультет информационных технологий;10;10
МОА_очн_льгот;02.03.03. Математическое обеспечение и администрирование информационных систем;Технология программирования;Информатика и ИКТ;Очная;Академический бакалавр;Бюджетная основа;Общие места;Факультет информационных технологий;0;0
МОА_очн_плат;02.03.03. Математическое обеспечение и администрирование информационных систем;Технология программирования;Информатика и ИКТ;Очная;Академический бакалавр;Полное возмещение затрат;Общие места;Факультет информационных технологий;4;0
МОА_очн_целевое;02.03.03. Математическое обеспечение и администрирование информационных систем;Технология программирования;Информатика и ИКТ;Очная;Академический бакалавр;Целевой прием;Общие места;Факультет информационных технологий;1;1
МТМ(ИиРМ) мг очн бюдж;22.04.01. Материаловедение и технологии материалов;Инженерия и реновация машин;Физика;Очная;Магистр;Бюджетная основа;Общие места;Механико-технологический факультет;5;5
МТМ(ИиРМ) мг очн платн;22.04.01. Материаловедение и технологии материалов;Инженерия и реновация машин;Физика;Очная;Магистр;Полное возмещение затрат;Общие места;Механико-технологический факультет;5;0
МТМ(КМ) мг очн бюдж;22.04.01. Материаловедение и технологии материалов;Компьютеное моделирование материалов и материаловедение;Физика;Очная;Магистр;Бюджетная основа;Общие места;Учебно-научный технологический институт;5;5
МТМ(КМ) мг очн платн;22.04.01. Материаловедение и технологии материалов;Компьютеное моделирование материалов и материаловедение;Физика;Очная;Магистр;Полное возмещение затрат;Общие места;Учебно-научный технологический институт;5;0
МХТ_очн_бюдж;15.03.06. Мехатроника и робототехника;Мехатроника;Физика;Очная;Академический бакалавр;Бюджетная основа;Общие места;Учебно-научный технологический институт;16;16
МХТ_очн_льгот;15.03.06. Мехатроника и робототехника;Мехатроника;Физика;Очная;Академический бакалавр;Бюджетная основа;Общие места;Учебно-научный технологический институт;0;0
МХТ_очн_плат;15.03.06. Мехатроника и робототехника;Мехатроника;Физика;Очная;Академический бакалавр;Полное возмещение затрат;Общие места;Учебно-научный технологический институт;5;0
НТТК_заочн_бюдж;23.03.02. Наземные транспортно-технологические комплексы;Подъемно-транспортные, строительные, дорожные машины и оборудование;Физика;Заочная;Академический бакалавр;Бюджетная основа;Общие места;Учебно-научный институт транспорта;17;0
НТТК_заочн_льгот;23.03.02. Наземные транспортно-технологические комплексы;Подъемно-транспортные, строительные, дорожные машины и оборудование;Физика;Заочная;Академический бакалавр;Бюджетная основа;Общие места;Учебно-научный институт транспорта;2;0
НТТК_заочн_плат;23.03.02. Наземные транспортно-технологические комплексы;Подъемно-транспортные, строительные, дорожные машины и оборудование;Физика;Заочная;Академический бакалавр;Полное возмещение затрат;Общие места;Учебно-научный институт транспорта;5;0
НТТС_очн_бюдж;23.05.01. Наземные транспортно-технологические средства;Подъемно-транспортные, строительные дорожные средства и оборудование;Физика;Очная;Специалист;Бюджетная основа;Общие места;Учебно-научный институт транспорта;14;14
НТТС_очн_льгот;23.05.01. Наземные транспортно-технологические средства;Подъемно-транспортные, строительные дорожные средства и оборудование;Физика;Очная;Специалист;Бюджетная основа;Общие места;Учебно-научный институт транспорта;0;0
НТТС_очн_плат;23.05.01. Наземные транспортно-технологические средства;Подъемно-транспортные, строительные дорожные средства и оборудование;Физика;Очная;Специалист;Полное возмещение затрат;Общие места;Учебно-научный институт транспорта;6;0
ПИ мг заочн платн;09.04.03. Прикладная информатика;Реинжиниринг бизнес-процессов;Информатика и ИКТ;Заочная;Магистр;Полное возмещение затрат;Общие места;Факультет экономики и управления;10;0
ПИ мг очн бюдж;09.04.03. Прикладная информатика;Реинжиниринг бизнес-процессов;Информатика и ИКТ;Очная;Магистр;Бюджетная основа;Общие места;Факультет экономики и управления;10;10
ПИ мг очн платн;09.04.03. Прикладная информатика;Реинжиниринг бизнес-процессов;Информатика и ИКТ;Очная;Магистр;Полное возмещение затрат;Общие места;Факультет экономики и управления;5;0
ПИ(КИС)_очн_бюдж;09.03.03. Прикладная информатика;Корпоративные информационные системы;Информатика и ИКТ;Очная;Академический бакалавр;Бюджетная основа;Общие места;Факультет экономики и управления;12;12
ПИ(КИС)_очн_льгот;09.03.03. Прикладная информатика;Корпоративные информационные системы;Информатика и ИКТ;Очная;Академический бакалавр;Бюджетная основа;Общие места;Факультет экономики и управления;2;2
ПИ(КИС)_очн_плат;09.03.03. Прикладная информатика;Корпоративные информационные системы;Информатика и ИКТ;Очная;Академический бакалавр;Полное возмещение затрат;Общие места;Факультет экономики и управления;6;0
ПИ(ЦЭ)_очн_бюдж;09.03.03. Прикладная информатика;Цифровая экономика;Информатика и ИКТ;Очная;Академический бакалавр;Бюджетная основа;Общие места;Факультет экономики и управления;12;12
ПИ(ЦЭ)_очн_льгот;09.03.03. Прикладная информатика;Цифровая экономика;Информатика и ИКТ;Очная;Академический бакалавр;Бюджетная основа;Общие места;Факультет экономики и управления;2;2
ПИ(ЦЭ)_очн_плат;09.03.03. Прикладная информатика;Цифровая экономика;Информатика и ИКТ;Очная;Академический бакалавр;Полное возмещение затрат;Общие места;Факультет экономики и управления;6;0
ПМ мг заочн платн;15.04.03. Прикладная механика;Динамика и прочность машин, приборов и аппаратуры;Физика;Заочная;Магистр;Полное возмещение затрат;Общие места;Учебно-научный институт транспорта;5;0
ПМ(БМ)_очн_бюдж;15.03.03. Прикладная механика;Надежность и безопасность машин;Физика;Очная;Академический бакалавр;Бюджетная основа;Общие места;Учебно-научный институт транспорта;11;11
ПМ(БМ)_очн_льгот;15.03.03. Прикладная механика;Надежность и безопасность машин;Физика;Очная;Академический бакалавр;Бюджетная основа;Общие места;Учебно-научный институт транспорта;0;0
ПМ(БМ)_очн_плат;15.03.03. Прикладная механика;Надежность и безопасность машин;Физика;Очная;Академический бакалавр;Полное возмещение затрат;Общие места;Учебно-научный институт транспорта;4;0
ПМ(ДПМ) мг очн бюдж;15.04.03. Прикладная механика;Динамика и прочность машин, приборов и аппаратуры;Физика;Очная;Магистр;Бюджетная основа;Общие места;Учебно-научный институт транспорта;3;3
ПМ(ДПМ) мг очн плат;15.04.03. Прикладная механика;Динамика и прочность машин, приборов и аппаратуры;Физика;Очная;Магистр;Полное возмещение затрат;Общие места;Учебно-научный институт транспорта;4;0
ПМ(ДПМ)_очн_бюдж;15.03.03. Прикладная механика;Динамика и прочность машин, приборов и аппаратуры;Физика;Очная;Академический бакалавр;Бюджетная основа;Общие места;Учебно-научный институт транспорта;14;14
ПМ(ДПМ)_очн_льгот;15.03.03. Прикладная механика;Динамика и прочность машин, приборов и аппаратуры;Физика;Очная;Академический бакалавр;Бюджетная основа;Общие места;Учебно-научный институт транспорта;0;0
ПМ(ДПМ)_очн_плат;15.03.03. Прикладная механика;Динамика и прочность машин, приборов и аппаратуры;Физика;Очная;Академический бакалавр;Полное возмещение затрат;Общие места;Учебно-научный институт транспорта;1;0
ПМ(НБМ) мг очн бюдж;15.04.03. Прикладная механика;Надежность и безопасность машин;Физика;Очная;Магистр;Бюджетная основа;Общие места;Учебно-научный институт транспорта;3;3
ПМ(НБМ) мг очн плат;15.04.03. Прикладная механика;Надежность и безопасность машин;Физика;Очная;Магистр;Полное возмещение затрат;Общие места;Учебно-научный институт транспорта;2;0
ПРИ мг очн бюдж;09.04.04. Программная инженерия;Проектирование программно-информационных систем;Информатика и ИКТ;Очная;Магистр;Бюджетная основа;Общие места;Факультет информационных технологий;10;10
ПРИ мг очн платн;09.04.04. Программная инженерия;Проектирование программно-информационных систем;Информатика и ИКТ;Очная;Магистр;Полное возмещение затрат;Общие места;Факультет информационных технологий;5;0
ПРИ_очн_бюдж;09.03.04. Программная инженерия;Разработка программно-информационных систем;Информатика и ИКТ;Очная;Академический бакалавр;Бюджетная основа;Общие места;Факультет информационных технологий;18;18
ПРИ_очн_льгот;09.03.04. Программная инженерия;Разработка программно-информационных систем;Информатика и ИКТ;Очная;Академический бакалавр;Бюджетная основа;Общие места;Факультет информационных технологий;3;3
ПРИ_очн_плат;09.03.04. Программная инженерия;Разработка программно-информационных систем;Информатика и ИКТ;Очная;Академический бакалавр;Полное возмещение затрат;Общие места;Факультет информационных технологий;8;0
ПРИ_очн_целевое;09.03.04. Программная инженерия;Разработка программно-информационных систем;Информатика и ИКТ;Очная;Академический бакалавр;Целевой прием;Целевые места;Факультет информационных технологий;1;1
ПРО(ГД)_очн_бюдж;44.03.04. Профессиональное обучение (по отраслям);Графический дизайн;Обществознание;Очная;Академический бакалавр;Бюджетная основа;Общие места;Факультет информационных технологий;15;0
ПРО(ГД)_очн_льгот;44.03.04. Профессиональное обучение (по отраслям);Графический дизайн;Обществознание;Очная;Академический бакалавр;Бюджетная основа;Общие места;Факультет информационных технологий;0;0
ПРО(ГД)_очн_плат;44.03.04. Профессиональное обучение (по отраслям);Графический дизайн;Обществознание;Очная;Академический бакалавр;Полное возмещение затрат;Общие места;Факультет информационных технологий;15;0
ПРО(ИВТ)_заочн_плат;44.03.04. Профессиональное обучение (по отраслям);Информатика, вычислительная техника, компьютерные технологии;Информатика и ИКТ;Заочная;Академический бакалавр;Полное возмещение затрат;Общие места;Факультет информационных технологий;15;0
ПРО(ЭК)_заочн_плат;44.03.04. Профессиональное обучение (по отраслям);Экономическая психология в бизнесе и управлении;Обществознание;Заочная;Академический бакалавр;Полное возмещение затрат;Общие места;Факультет информационных технологий;10;0
ПСЖД(В)_очн_плат;23.05.03. Подвижной состав железных дорог;Вагоны;Физика;Очная;Специалист;Полное возмещение затрат;Общие места;Учебно-научный институт транспорта;10;0
ПСЖД(Л)_очн_плат;23.05.03. Подвижной состав железных дорог;Локомотивы;Физика;Очная;Специалист;Полное возмещение затрат;Общие места;Учебно-научный институт транспорта;10;0
ПСЖД_заочн_плат;23.05.03. Подвижной состав железных дорог;Технология производства и ремонта подвижного состава;Физика;Заочная;Специалист;Полное возмещение затрат;Общие места;Учебно-научный институт транспорта;50;0
ПТМК_заочн_плат;15.05.01. Проектирование технологических машин и комплексов;Проектирование технологических комплексов механосборочных производств;Физика;Заочная;Специалист;Полное возмещение затрат;Общие места;Учебно-научный технологический институт;20;0
ПТМК_очн_бюдж;15.05.01. Проектирование технологических машин и комплексов;Проектирование механообрабатывающих и инструментальных комплексов в машиностроении;Физика;Очная;Специалист;Бюджетная основа;Общие места;Учебно-научный технологический институт;10;10
ПТМК_очн_льгот;15.05.01. Проектирование технологических машин и комплексов;Проектирование механообрабатывающих и инструментальных комплексов в машиностроении;Физика;Очная;Специалист;Бюджетная основа;Общие места;Учебно-научный технологический институт;0;0
ПТМК_очн_плат;15.05.01. Проектирование технологических машин и комплексов;Проектирование механообрабатывающих и инструментальных комплексов в машиностроении;Физика;Очная;Специалист;Полное возмещение затрат;Общие места;Учебно-научный технологический институт;5;0
РАД_очн_бюдж;11.03.01. Радиотехника;Радиотехника;Физика;Очная;Академический бакалавр;Бюджетная основа;Общие места;Факультет энергетики и электроники;4;4
РАД_очн_льгот;11.03.01. Радиотехника;Радиотехника;Физика;Очная;Академический бакалавр;Бюджетная основа;Общие места;Факультет энергетики и электроники;1;1
РАД_очн_плат;11.03.01. Радиотехника;Радиотехника;Физика;Очная;Академический бакалавр;Полное возмещение затрат;Общие места;Факультет энергетики и электроники;6;0
РАД_очн_целевое;11.03.01. Радиотехника;Радиотехника;Физика;Очная;Академический бакалавр;Целевой прием;Целевые места;Факультет энергетики и электроники;4;4
СиМ мг заочн платн;27.04.01. Стандартизация и метрология;Стандартизация и метрологическое обеспечение производства;Физика;Заочная;Магистр;Полное возмещение затрат;Общие места;Механико-технологический факультет;5;0
СиМ мг очн бюдж;27.04.01. Стандартизация и метрология;Стандартизация и метрологическое обеспечение производства;Физика;Очная;Магистр;Бюджетная основа;Общие места;Механико-технологический факультет;11;11
СиМ мг очн платн;27.04.01. Стандартизация и метрология;Стандартизация и метрологическое обеспечение производства;Физика;Очная;Магистр;Полное возмещение затрат;Общие места;Механико-технологический факультет;4;0
СиМ_заочн_плат;27.03.01. Стандартизация и метрология;Стандартизация и метрологическое обеспечение производства;Физика;Заочная;Академический бакалавр;Полное возмещение затрат;Общие места;Механико-технологический факультет;5;0
СиМ_очн_бюдж;27.03.01. Стандартизация и метрология;Стандартизация и метрологическое обеспечение производства;Физика;Очная;Академический бакалавр;Бюджетная основа;Общие места;Механико-технологический факультет;9;9
СиМ_очн_льгот;27.03.01. Стандартизация и метрология;Стандартизация и метрологическое обеспечение производства;Физика;Очная;Академический бакалавр;Бюджетная основа;Общие места;Механико-технологический факультет;0;0
СиМ_очн_плат;27.03.01. Стандартизация и метрология;Стандартизация и метрологическое обеспечение производства;Физика;Очная;Академический бакалавр;Полное возмещение затрат;Общие места;Механико-технологический факультет;6;0
СЦ_заочн_плат;39.03.01. Социология;Социология управления;Обществознание;Заочная;Академический бакалавр;Полное возмещение затрат;Общие места;Факультет экономики и управления;20;0
СЦ_очн_плат;39.03.01. Социология;Социология управления;Обществознание;Очная;Академический бакалавр;Полное возмещение затрат;Общие места;Факультет экономики и управления;15;0
ТБ мг веч платн;20.04.01. Техносферная безопасность;Безопасность технологических процессов и производств;Физика;Очно-заочная;Магистр;Полное возмещение затрат;Общие места;Механико-технологический факультет;5;0
ТБ(БТПиП)_заочн_плат;20.03.01. Техносферная безопасность;Безопасность технологических процессов и производств;Физика;Заочная;Академический бакалавр;Полное возмещение затрат;Общие места;Механико-технологический факультет;10;0
ТБ(БТПиП)_очн_бюдж;20.03.01. Техносферная безопасность;Безопасность технологических процессов и производств;Физика;Очная;Академический бакалавр;Бюджетная основа;Общие места;Механико-технологический факультет;19;19
ТБ(БТПиП)_очн_льгот;20.03.01. Техносферная безопасность;Безопасность технологических процессов и производств;Физика;Очная;Академический бакалавр;Бюджетная основа;Общие места;Механико-технологический факультет;1;1
ТБ(БТПиП)_очн_плат;20.03.01. Техносферная безопасность;Безопасность технологических процессов и производств;Физика;Очная;Академический бакалавр;Полное возмещение затрат;Общие места;Механико-технологический факультет;5;0
ТД_заочн_плат;38.03.06. Торговое дело;Коммерция;Обществознание;Заочная;Академический бакалавр;Полное возмещение затрат;Общие места;Факультет экономики и управления;10;0
ТД_очн_плат;38.03.06. Торговое дело;Коммерция;Обществознание;Очная;Академический бакалавр;Полное возмещение затрат;Общие места;Факультет экономики и управления;15;0
ТиТ мг заоч плат;13.04.01. Теплоэнергетика и теплотехника;Системы газоснабжения и газораспределения;Физика;Заочная;Магистр;Полное возмещение затрат;Общие места;Факультет энергетики и электроники;10;0
ТиТ мг очн бюдж;13.04.01. Теплоэнергетика и теплотехника;Промышленная теплоэнергетика;Физика;Очная;Магистр;Бюджетная основа;Общие места;Факультет энергетики и электроники;8;8
ТиТ мг очн платн;13.04.01. Теплоэнергетика и теплотехника;Промышленная теплоэнергетика;Физика;Очная;Магистр;Полное возмещение затрат;Общие места;Факультет энергетики и электроники;7;0
ТиТ(ИСК)_заочн_плат;13.03.01. Теплоэнергетика и теплотехника;Инженерные сети и коммуникации населенных пунктов;Физика;Заочная;Академический бакалавр;Полное возмещение затрат;Общие места;Факультет энергетики и электроники;15;0
ТиТ_очн_бюдж;13.03.01. Теплоэнергетика и теплотехника;Промышленная теплоэнергетика;Физика;Очная;Академический бакалавр;Бюджетная основа;Общие места;Факультет энергетики и электроники;20;20
ТиТ_очн_льгот;13.03.01. Теплоэнергетика и теплотехника;Промышленная теплоэнергетика;Физика;Очная;Академический бакалавр;Бюджетная основа;Общие места;Факультет энергетики и электроники;0;0
